 Good Split, ,  ,Epochs ,    ,      
Model,2,5,10,15,20
1,0.79|0.77,0.89|0.89,0.88|0.88,0.92|0.92,0.93|0.93
2,0.86|0.83,0.88|0.83,0.93|0.93,0.92|0.92,0.93|0.93
3,0.87|0.79,0.92|0.92,0.93|0.93,0.92|0.92,0.94|0.94
4,0.86|0.77,0.87|0.79,0.86|0.76,0.87|0.84,0.90|0.91
5,0.89|0.88,0.86|0.73,0.82|0.77,0.91|0.90,0.92|0.90
